671 markers:
  type 0 ((type 0)): 0 markers
  type 1 ((type 1)): 0 markers
  type 2 ((type 2)): 0 markers
  type 3 ((type 3)): 1 markers
  type 4 ((type 4)): 24 markers
  type 5 ((type 5)): 39 markers
  type 6 ((type 6)): 79 markers
  type 7 ((type 7)): 42 markers
  type 8 ((type 8)): 0 markers
  type 9 ((type 9)): 0 markers
  type 10 ((type 10)): 0 markers
  type 11 ((type 11)): 4 markers
  type 12 ((type 12)): 131 markers
  type 13 ((type 13)): 196 markers
  type 14 ((type 14)): 23 markers
  type 15 ((type 15)): 0 markers
  type 16 ((type 16)): 4 markers
  type 17 (neighbourhood): 13 markers
  type 18 (engage tip sms): 56 markers
  type 19 (money pickup): 59 markers
  type 20 ((type 20)): 0 markers
type 0 ((type 0)) markers:
type 1 ((type 1)) markers:
type 2 ((type 2)) markers:
type 3 ((type 3)) markers:
  structsize 116 areaMin (-1795.22, -2318.09) areaMax ( 2288.66,   331.65) position (-1334.23,  -213.86) radius 6
  structsize 100 areaMin (-1236.00,   779.00) areaMax (-1228.00,   787.00) position (-1236.00,   779.00) radius 4
  structsize 100 areaMin (-2394.00,  2169.00) areaMax (-2386.00,  2177.00) position (-2394.00,  2169.00) radius 4
  structsize 100 areaMin (  459.00,    42.00) areaMax (  467.00,    50.00) position (  459.00,    42.00) radius 4
  structsize 100 areaMin (-1329.00,  1876.00) areaMax (-1321.00,  1884.00) position (-1329.00,  1876.00) radius 4
  structsize 100 areaMin (  370.00,  1163.00) areaMax (  378.00,  1171.00) position (  370.00,  1163.00) radius 4
  structsize 100 areaMin ( 1716.00,  -742.00) areaMax ( 1724.00,  -734.00) position ( 1716.00,  -742.00) radius 4
  structsize 100 areaMin (-3051.00,  2366.00) areaMax (-3043.00,  2374.00) position (-3051.00,  2366.00) radius 4
  structsize 100 areaMin (  580.00,  -183.00) areaMax (  588.00,  -175.00) position (  580.00,  -183.00) radius 4
  structsize 100 areaMin ( 1810.00,  -836.00) areaMax ( 1818.00,  -828.00) position ( 1810.00,  -836.00) radius 4
  structsize 100 areaMin (   23.00,   -20.00) areaMax (   31.00,   -12.00) position (   23.00,   -20.00) radius 4
  structsize 100 areaMin (-1421.00,   214.00) areaMax (-1413.00,   222.00) position (-1421.00,   214.00) radius 4
  structsize 100 areaMin (-2092.00,  1419.00) areaMax (-2084.00,  1427.00) position (-2092.00,  1419.00) radius 4
  structsize 100 areaMin (-1364.00,   441.00) areaMax (-1356.00,   449.00) position (-1364.00,   441.00) radius 4
  structsize 100 areaMin (-1100.00,   482.00) areaMax (-1092.00,   490.00) position (-1100.00,   482.00) radius 4
  structsize 100 areaMin (  338.00,   484.00) areaMax (  346.00,   492.00) position (  338.00,   484.00) radius 4
  structsize 100 areaMin (-2912.00,  2401.00) areaMax (-2904.00,  2409.00) position (-2912.00,  2401.00) radius 4
  structsize 100 areaMin ( 1810.00,  -812.00) areaMax ( 1818.00,  -804.00) position ( 1810.00,  -812.00) radius 4
  structsize 100 areaMin ( 1802.00, -1023.00) areaMax ( 1810.00, -1015.00) position ( 1802.00, -1023.00) radius 4
  structsize 100 areaMin (  157.00,  -468.00) areaMax (  165.00,  -460.00) position (  157.00,  -468.00) radius 4
  structsize 100 areaMin ( 1719.00,  -717.00) areaMax ( 1727.00,  -709.00) position ( 1719.00,  -717.00) radius 4
  structsize 100 areaMin (-2165.00,  1152.00) areaMax (-2157.00,  1160.00) position (-2165.00,  1152.00) radius 4
  structsize 100 areaMin ( -615.00,    51.00) areaMax ( -607.00,    59.00) position ( -615.00,    51.00) radius 4
  structsize 100 areaMin (-2062.00,  2665.00) areaMax (-2054.00,  2673.00) position (-2062.00,  2665.00) radius 4
  structsize 100 areaMin ( -134.00,  1517.00) areaMax ( -126.00,  1525.00) position ( -134.00,  1517.00) radius 4
  structsize 100 areaMin (-1992.00,  2520.00) areaMax (-1984.00,  2528.00) position (-1992.00,  2520.00) radius 4
  structsize 100 areaMin (-1208.00,  3137.00) areaMax (-1200.00,  3145.00) position (-1208.00,  3137.00) radius 4
  structsize 100 areaMin (  843.00, -1211.00) areaMax (  851.00, -1203.00) position (  843.00, -1211.00) radius 4
  structsize 100 areaMin (-1339.00,  2265.00) areaMax (-1331.00,  2273.00) position (-1339.00,  2265.00) radius 4
  structsize 100 areaMin ( -722.00,  1855.00) areaMax ( -714.00,  1863.00) position ( -722.00,  1855.00) radius 4
  structsize 100 areaMin (-1142.00,  2781.00) areaMax (-1134.00,  2789.00) position (-1142.00,  2781.00) radius 4
  structsize 100 areaMin (  325.00, -1585.00) areaMax (  333.00, -1577.00) position (  325.00, -1585.00) radius 4
  structsize 100 areaMin (  -38.00, -1268.00) areaMax (  -30.00, -1260.00) position (  -38.00, -1268.00) radius 4
  structsize 100 areaMin (  657.00, -1714.00) areaMax (  665.00, -1706.00) position (  657.00, -1714.00) radius 4
  structsize 100 areaMin (  535.00,  -592.00) areaMax (  543.00,  -584.00) position (  535.00,  -592.00) radius 4
  structsize 100 areaMin ( 1879.00,  -770.00) areaMax ( 1887.00,  -762.00) position ( 1879.00,  -770.00) radius 4
  structsize 100 areaMin (  549.00, -1794.00) areaMax (  557.00, -1786.00) position (  549.00, -1794.00) radius 4
  structsize 100 areaMin (   50.00, -1647.00) areaMax (   58.00, -1639.00) position (   50.00, -1647.00) radius 4
  structsize 100 areaMin (  811.00, -1386.00) areaMax (  819.00, -1378.00) position (  811.00, -1386.00) radius 4
  structsize 100 areaMin (  -71.00, -1586.00) areaMax (  -63.00, -1578.00) position (  -71.00, -1586.00) radius 4
  structsize 100 areaMin (  130.00, -1352.00) areaMax (  138.00, -1344.00) position (  130.00, -1352.00) radius 4
  structsize 100 areaMin (   67.00, -1973.00) areaMax (   75.00, -1965.00) position (   67.00, -1973.00) radius 4
  structsize 100 areaMin ( 1874.00,  -634.00) areaMax ( 1882.00,  -626.00) position ( 1874.00,  -634.00) radius 4
  structsize 100 areaMin ( -227.00, -1978.00) areaMax ( -219.00, -1970.00) position ( -227.00, -1978.00) radius 4
  structsize 100 areaMin ( -896.00, -2003.00) areaMax ( -888.00, -1995.00) position ( -896.00, -2003.00) radius 4
  structsize 100 areaMin ( -362.00,  -355.00) areaMax ( -354.00,  -347.00) position ( -362.00,  -355.00) radius 4
  structsize 100 areaMin ( -746.00, -1928.00) areaMax ( -738.00, -1920.00) position ( -746.00, -1928.00) radius 4
  structsize 100 areaMin ( 1693.00,  -860.00) areaMax ( 1701.00,  -852.00) position ( 1693.00,  -860.00) radius 4
  structsize 100 areaMin (  132.00, -1316.00) areaMax (  140.00, -1308.00) position (  132.00, -1316.00) radius 4
  structsize 100 areaMin (  385.00, -1806.00) areaMax (  393.00, -1798.00) position (  385.00, -1806.00) radius 4
  structsize 100 areaMin (-3083.00,  2299.00) areaMax (-3075.00,  2307.00) position (-3083.00,  2299.00) radius 4
  structsize 100 areaMin (-1246.00, -1661.00) areaMax (-1238.00, -1653.00) position (-1246.00, -1661.00) radius 4
  structsize 100 areaMin (-1523.00,  2760.00) areaMax (-1515.00,  2768.00) position (-1523.00,  2760.00) radius 4
  structsize 100 areaMin ( -309.00, -1518.00) areaMax ( -301.00, -1510.00) position ( -309.00, -1518.00) radius 4
  structsize 100 areaMin ( -880.00, -1501.00) areaMax ( -872.00, -1493.00) position ( -880.00, -1501.00) radius 4
  structsize 100 areaMin ( -236.00, -1785.00) areaMax ( -228.00, -1777.00) position ( -236.00, -1785.00) radius 4
  structsize 100 areaMin ( -187.00,  1595.00) areaMax ( -179.00,  1603.00) position ( -187.00,  1595.00) radius 4
  structsize 100 areaMin (-1460.00, -1491.00) areaMax (-1452.00, -1483.00) position (-1460.00, -1491.00) radius 4
  structsize 100 areaMin ( -811.00, -1573.00) areaMax ( -803.00, -1565.00) position ( -811.00, -1573.00) radius 4
  structsize 100 areaMin ( -253.00, -1527.00) areaMax ( -245.00, -1519.00) position ( -253.00, -1527.00) radius 4
  structsize 100 areaMin ( 1676.00,  -958.00) areaMax ( 1684.00,  -950.00) position ( 1676.00,  -958.00) radius 4
  structsize 100 areaMin ( -964.00, -1386.00) areaMax ( -956.00, -1378.00) position ( -964.00, -1386.00) radius 4
  structsize 100 areaMin ( -769.00,  1893.00) areaMax ( -761.00,  1901.00) position ( -769.00,  1893.00) radius 4
type 14 ((type 14)) markers:
  structsize 100 areaMin ( -396.15,    28.49) areaMax ( -375.66,    48.98) position ( -388.65,    48.98) radius 4
  structsize 100 areaMin (  473.20,   112.65) areaMax (  491.37,   130.82) position (  491.37,   127.20) radius 4
  structsize 100 areaMin ( -735.14,  -884.16) areaMax ( -719.85,  -868.88) position ( -735.14,  -869.17) radius 4
  structsize 100 areaMin (-1275.48,  -623.50) areaMax (-1258.27,  -606.30) position (-1273.08,  -623.50) radius 4
  structsize 100 areaMin ( -285.58,  -472.79) areaMax ( -268.48,  -455.69) position ( -285.58,  -470.52) radius 4
  structsize 100 areaMin (-1060.86,  -157.12) areaMax (-1039.91,  -136.16) position (-1052.04,  -136.16) radius 4
  structsize 100 areaMin (  328.93,  -764.93) areaMax (  347.25,  -746.61) position (  328.93,  -750.43) radius 4
  structsize 100 areaMin (  643.59,  -112.07) areaMax (  664.75,   -90.91) position (  664.75,  -100.73) radius 4
  structsize 100 areaMin ( -554.21, -1899.66) areaMax ( -539.21, -1884.66) position ( -554.21, -1884.66) radius 4
  structsize 100 areaMin (  -77.22, -1484.34) areaMax (  -62.22, -1469.34) position (  -62.22, -1484.34) radius 4
  structsize 100 areaMin (   27.14, -1727.74) areaMax (   46.94, -1707.93) position (   33.24, -1727.74) radius 4
  structsize 100 areaMin (-1135.89, -1885.03) areaMax (-1114.76, -1863.90) position (-1126.25, -1863.90) radius 4
  structsize 100 areaMin (  722.05, -1184.67) areaMax (  741.29, -1165.43) position (  736.13, -1165.43) radius 4
  structsize 100 areaMin (  446.88, -1563.00) areaMax (  466.33, -1543.56) position (  446.88, -1549.04) radius 4
  structsize 100 areaMin ( -537.37, -1574.20) areaMax ( -517.44, -1554.27) position ( -531.03, -1574.20) radius 4
  structsize 100 areaMin (  830.81, -1411.98) areaMax (  845.81, -1396.98) position (  845.81, -1411.98) radius 4
  structsize 100 areaMin (-1936.41,  1125.11) areaMax (-1920.07,  1141.45) position (-1936.41,  1140.05) radius 4
  structsize 100 areaMin (-1895.09,  1150.73) areaMax (-1878.16,  1167.65) position (-1893.02,  1150.73) radius 4
  structsize 100 areaMin (-1002.71,   807.17) areaMax ( -986.01,   823.87) position ( -987.82,   807.17) radius 4
  structsize 100 areaMin ( -983.64,   402.51) areaMax ( -964.44,   421.72) position ( -983.64,   407.61) radius 4
  structsize 100 areaMin (-1465.48,   679.45) areaMax (-1445.18,   699.75) position (-1465.48,   692.67) radius 4
  structsize 100 areaMin ( -499.73,   703.61) areaMax ( -480.47,   722.86) position ( -494.55,   722.86) radius 4
  structsize 100 areaMin (-1313.72,   348.08) areaMax (-1297.01,   364.79) position (-1313.72,   362.96) radius 4
type 15 ((type 15)) markers:
type 16 ((type 16)) markers:
  structsize 108 areaMin (-3381.74,   777.63) areaMax ( -594.53,  3365.39) position (-3381.74,  2737.57) radius 5
  structsize 116 areaMin (-2207.46,     1.83) areaMax (  745.51,  1902.41) position (  -24.15,  1902.41) radius 6
  structsize 124 areaMin (-1489.00, -1195.05) areaMax ( 2025.46,   805.88) position (  819.76,   805.88) radius 7
  structsize 100 areaMin (-1552.82, -2210.19) areaMax ( 1683.40, -1089.48) position (-1552.82, -1089.48) radius 4
type 17 (neighbourhood) markers:
  structsize 108 areaMin (-3399.01,  1001.31) areaMax ( -505.50,  3227.40) position (-3399.01,  3119.50) radius 5
    neighbourhood: JACKSON_HEIGHTS
  structsize 116 areaMin (-1852.79,     1.58) areaMax ( -955.41,   979.91) position (-1852.79,   935.96) radius 6
    neighbourhood: BEACON_HILL_WEST
  structsize 116 areaMin (-1424.92,   320.75) areaMax ( -303.19,  1007.66) position (-1424.92,  1007.66) radius 6
    neighbourhood: BEACON_HILL_EAST
  structsize 116 areaMin ( -760.21,   593.20) areaMax (  671.89,  1656.18) position ( -721.35,  1120.53) radius 6
    neighbourhood: PIGEON_PARK
  structsize 148 areaMin ( -893.43,  -269.95) areaMax (   64.08,   459.98) position (   14.13,   459.98) radius 10
    neighbourhood: HOTELS
  structsize 156 areaMin ( -457.69,  -405.94) areaMax (  666.34,   565.45) position (  666.34,   487.74) radius 11
    neighbourhood: FINANCE
  structsize 156 areaMin (-1426.30,  -988.77) areaMax ( -596.46,   -14.61) position (-1426.30,  -528.06) radius 11
    neighbourhood: STADIUM
  structsize 164 areaMin ( -926.73,  -911.06) areaMax (   75.19,   -89.55) position (   75.19,  -888.86) radius 12
    neighbourhood: SOUTH_MARKET
  structsize 140 areaMin ( -116.32,  -908.29) areaMax (  666.34,   218.52) position (  666.34,   146.36) radius 9
    neighbourhood: FORT_UNION
  structsize 116 areaMin (  230.61,  -905.51) areaMax (  893.93,   -11.83) position (  871.72,  -150.60) radius 6
    neighbourhood (not found)
  structsize 116 areaMin ( 1068.78, -1299.62) areaMax ( 2145.63,  -206.11) position ( 1213.10,  -206.11) radius 6
    neighbourhood: AIRPORT
  structsize 124 areaMin ( -291.17, -2012.89) areaMax ( 1043.80, -1146.97) position ( 1043.80, -1374.55) radius 7
    neighbourhood: COAL_HARBOUR_EAST
  structsize 108 areaMin (-1520.67, -2187.74) areaMax (  291.67, -1216.36) position (-1520.67, -1227.46) radius 5
    neighbourhood: COAL_HARBOUR_WEST
type 18 (engage tip sms) markers:
  structsize 100 areaMin (-1256.00,  -621.00) areaMax (-1248.00,  -613.00) position (-1256.00,  -621.00) radius 4
    engage tip sms: ENGAGE_TIPS_AUDIO
  structsize 100 areaMin (  456.00,    79.00) areaMax (  464.00,    87.00) position (  456.00,    79.00) radius 4
    engage tip sms: ENGAGE_TIPS_MIRROR
  structsize 100 areaMin (  472.00,   237.00) areaMax (  480.00,   245.00) position (  472.00,   237.00) radius 4
    engage tip sms: ENGAGE_TIPS_GPS
  structsize 100 areaMin ( -721.00,   891.00) areaMax ( -713.00,   899.00) position ( -721.00,   891.00) radius 4
    engage tip sms: ENGAGE_TIPS_ORSTRAT
  structsize 100 areaMin (  508.00,  -429.00) areaMax (  516.00,  -421.00) position (  508.00,  -429.00) radius 4
    engage tip sms: ENGAGE_TIPS_SMS
  structsize 100 areaMin (  862.00,  -253.00) areaMax (  870.00,  -245.00) position (  862.00,  -253.00) radius 4
    engage tip sms: ENGAGE_TIPS_MAP
  structsize 100 areaMin (  271.00,  -299.00) areaMax (  279.00,  -291.00) position (  271.00,  -299.00) radius 4
    engage tip sms: ENGAGE_TIPS_STAB
  structsize 100 areaMin (  237.00,  -454.00) areaMax (  245.00,  -446.00) position (  237.00,  -454.00) radius 4
    engage tip sms: ENGAGE_TIPS_TRANS
  structsize 100 areaMin ( 1031.00,  -273.00) areaMax ( 1039.00,  -265.00) position ( 1031.00,  -273.00) radius 4
    engage tip sms: ENGAGE_TIPS_METRIC
  structsize 100 areaMin (  472.00,   133.00) areaMax (  480.00,   141.00) position (  472.00,   133.00) radius 4
    engage tip sms: ENGAGE_TIPS_AUTO
  structsize 100 areaMin (  311.00,  -530.00) areaMax (  319.00,  -522.00) position (  311.00,  -530.00) radius 4
    engage tip sms: ENGAGE_TIPS_RBRKR
  structsize 100 areaMin (  346.00,  -780.00) areaMax (  354.00,  -772.00) position (  346.00,  -780.00) radius 4
    engage tip sms: ENGAGE_TIPS_CAR
  structsize 100 areaMin (  786.00,  -336.00) areaMax (  794.00,  -328.00) position (  786.00,  -336.00) radius 4
    engage tip sms: ENGAGE_TIPS_MEGA
  structsize 100 areaMin (  564.00,  -141.00) areaMax (  572.00,  -133.00) position (  564.00,  -141.00) radius 4
    engage tip sms: ENGAGE_TIPS_BS3
  structsize 100 areaMin ( 1707.00,  -990.00) areaMax ( 1715.00,  -982.00) position ( 1707.00,  -990.00) radius 4
    engage tip sms: ENGAGE_TIPS_DRAFT
  structsize 100 areaMin (  330.00,   484.00) areaMax (  338.00,   492.00) position (  330.00,   484.00) radius 4
    engage tip sms: ENGAGE_TIPS_BBRK
  structsize 100 areaMin ( 1709.00,  -850.00) areaMax ( 1717.00,  -842.00) position ( 1709.00,  -850.00) radius 4
    engage tip sms: ENGAGE_TIP_CAREER_PROG
  structsize 100 areaMin ( -287.00,   319.00) areaMax ( -279.00,   327.00) position ( -287.00,   319.00) radius 4
    engage tip sms: ENGAGE_TIPS_SPECIAL
  structsize 100 areaMin (   43.00,   -40.00) areaMax (   51.00,   -32.00) position (   43.00,   -40.00) radius 4
    engage tip sms: ENGAGE_TIPS_PERF
  structsize 100 areaMin (-1101.00,  -489.00) areaMax (-1093.00,  -481.00) position (-1101.00,  -489.00) radius 4
    engage tip sms: ENGAGE_TIPS_GRAPH
  structsize 100 areaMin (  123.00,  -656.00) areaMax (  131.00,  -648.00) position (  123.00,  -656.00) radius 4
    engage tip sms: ENGAGE_TIPS_BS1
  structsize 100 areaMin ( -252.00,  -839.00) areaMax ( -244.00,  -831.00) position ( -252.00,  -839.00) radius 4
    engage tip sms: ENGAGE_TIPS_BS2
  structsize 100 areaMin ( -399.00,   -67.00) areaMax ( -391.00,   -59.00) position ( -399.00,   -67.00) radius 4
    engage tip sms: ENGAGE_TIPS_SLBRK
  structsize 100 areaMin ( -535.00,   511.00) areaMax ( -527.00,   519.00) position ( -535.00,   511.00) radius 4
    engage tip sms: ENGAGE_TIPS_WEATHER
  structsize 100 areaMin ( -502.00,   728.00) areaMax ( -494.00,   736.00) position ( -502.00,   728.00) radius 4
    engage tip sms: ENGAGE_TIPS_HUD
  structsize 100 areaMin (  615.00,  -179.00) areaMax (  623.00,  -171.00) position (  615.00,  -179.00) radius 4
    engage tip sms: ENGAGE_TIPS_NEW
  structsize 100 areaMin (-1070.00,   693.00) areaMax (-1062.00,   701.00) position (-1070.00,   693.00) radius 4
    engage tip sms: ENGAGE_TIPS_LOT
  structsize 100 areaMin ( -452.00,  -211.00) areaMax ( -444.00,  -203.00) position ( -452.00,  -211.00) radius 4
    engage tip sms: ENGAGE_TIPS_GRAPH2
  structsize 100 areaMin (-1158.00,   573.00) areaMax (-1150.00,   581.00) position (-1158.00,   573.00) radius 4
    engage tip sms: ENGAGE_TIPS_SPECIAL2
  structsize 100 areaMin ( -935.00,  -317.00) areaMax ( -927.00,  -309.00) position ( -935.00,  -317.00) radius 4
    engage tip sms: ENGAGE_TIPS_PERF2
  structsize 100 areaMin (-1548.00,   276.00) areaMax (-1540.00,   284.00) position (-1548.00,   276.00) radius 4
    engage tip sms: ENGAGE_TIPS_DRIFT
  structsize 100 areaMin ( -639.00,   890.00) areaMax ( -631.00,   898.00) position ( -639.00,   890.00) radius 4
    engage tip sms: ENGAGE_TIPS_STREETX
  structsize 100 areaMin ( -966.00,   797.00) areaMax ( -958.00,   805.00) position ( -966.00,   797.00) radius 4
    engage tip sms: ENGAGE_TIPS_MAG
  structsize 100 areaMin ( -778.00,   557.00) areaMax ( -770.00,   565.00) position ( -778.00,   557.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1648.00,   607.00) areaMax (-1640.00,   615.00) position (-1648.00,   607.00) radius 4
    engage tip sms: ENGAGE_TIPS_MAG2
  structsize 100 areaMin ( -946.00,   424.00) areaMax ( -938.00,   432.00) position ( -946.00,   424.00) radius 4
    engage tip sms: ENGAGE_TIPS_RCEBRKR
  structsize 100 areaMin (  516.00,  1017.00) areaMax (  524.00,  1025.00) position (  516.00,  1017.00) radius 4
    engage tip sms: ENGAGE_TIPS_SLWIN
  structsize 100 areaMin ( -869.00,   720.00) areaMax ( -861.00,   728.00) position ( -869.00,   720.00) radius 4
    engage tip sms: ENGAGE_TIPS_ENGBRK
  structsize 100 areaMin (-1340.00,   342.00) areaMax (-1332.00,   350.00) position (-1340.00,   342.00) radius 4
    engage tip sms: ENGAGE_TIPS_REALTUNE
  structsize 100 areaMin (  194.00,  -477.00) areaMax (  202.00,  -469.00) position (  194.00,  -477.00) radius 4
    engage tip sms: ENGAGE_TIPS_FILTER
  structsize 100 areaMin ( -721.00,  1817.00) areaMax ( -713.00,  1825.00) position ( -721.00,  1817.00) radius 4
    engage tip sms: ENGAGE_TIPS_HIDDEN
  structsize 100 areaMin (-3018.00,  2400.00) areaMax (-3010.00,  2408.00) position (-3018.00,  2400.00) radius 4
    engage tip sms: ENGAGE_TIPS_TRLBRK
  structsize 100 areaMin (-2150.00,  1129.00) areaMax (-2142.00,  1137.00) position (-2150.00,  1129.00) radius 4
    engage tip sms: ENGAGE_TIPS_ORGANIC
  structsize 100 areaMin ( -557.00,   507.00) areaMax ( -549.00,   515.00) position ( -557.00,   507.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin ( -964.00,   389.00) areaMax ( -956.00,   397.00) position ( -964.00,   389.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1443.00,   274.00) areaMax (-1435.00,   282.00) position (-1443.00,   274.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1633.00,   475.00) areaMax (-1625.00,   483.00) position (-1633.00,   475.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1362.00,   723.00) areaMax (-1354.00,   731.00) position (-1362.00,   723.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin ( -156.00,  1511.00) areaMax ( -148.00,  1519.00) position ( -156.00,  1511.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin ( -939.00,   819.00) areaMax ( -931.00,   827.00) position ( -939.00,   819.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin ( -939.00,   557.00) areaMax ( -931.00,   565.00) position ( -939.00,   557.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1291.00,   198.00) areaMax (-1283.00,   206.00) position (-1291.00,   198.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (  513.00,  1015.00) areaMax (  521.00,  1023.00) position (  513.00,  1015.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin ( -403.00,   735.00) areaMax ( -395.00,   743.00) position ( -403.00,   735.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1362.00,   435.00) areaMax (-1354.00,   443.00) position (-1362.00,   435.00) radius 4
    engage tip sms (not found)
  structsize 100 areaMin (-1044.00,   685.00) areaMax (-1036.00,   693.00) position (-1044.00,   685.00) radius 4
    engage tip sms (not found)
type 19 (money pickup) markers:
  structsize 100 areaMin ( 1714.00,  -755.00) areaMax ( 1722.00,  -747.00) position ( 1714.00,  -755.00) radius 4
  structsize 100 areaMin ( 1802.00,  -834.00) areaMax ( 1810.00,  -826.00) position ( 1802.00,  -834.00) radius 4
  structsize 100 areaMin ( 1887.00,  -737.00) areaMax ( 1895.00,  -729.00) position ( 1887.00,  -737.00) radius 4
  structsize 100 areaMin ( 1852.00,  -929.00) areaMax ( 1860.00,  -921.00) position ( 1852.00,  -929.00) radius 4
  structsize 100 areaMin (  497.00,  -812.00) areaMax (  505.00,  -804.00) position (  497.00,  -812.00) radius 4
  structsize 100 areaMin (  322.00,  -743.00) areaMax (  330.00,  -735.00) position (  322.00,  -743.00) radius 4
  structsize 100 areaMin ( -694.00,  -894.00) areaMax ( -686.00,  -886.00) position ( -694.00,  -894.00) radius 4
  structsize 100 areaMin (  412.00,  -392.00) areaMax (  420.00,  -384.00) position (  412.00,  -392.00) radius 4
  structsize 100 areaMin (  262.00,  -444.00) areaMax (  270.00,  -436.00) position (  262.00,  -444.00) radius 4
  structsize 100 areaMin (   67.00,  -532.00) areaMax (   75.00,  -524.00) position (   67.00,  -532.00) radius 4
  structsize 100 areaMin (  270.00,  -322.00) areaMax (  278.00,  -314.00) position (  270.00,  -322.00) radius 4
  structsize 100 areaMin (  126.00,  -824.00) areaMax (  134.00,  -816.00) position (  126.00,  -824.00) radius 4
  structsize 100 areaMin ( 1669.00,  -991.00) areaMax ( 1677.00,  -983.00) position ( 1669.00,  -991.00) radius 4
  structsize 100 areaMin (  213.00,  -411.00) areaMax (  221.00,  -403.00) position (  213.00,  -411.00) radius 4
  structsize 100 areaMin (  195.00,  -432.00) areaMax (  203.00,  -424.00) position (  195.00,  -432.00) radius 4
  structsize 100 areaMin (  170.00,  -450.00) areaMax (  178.00,  -442.00) position (  170.00,  -450.00) radius 4
  structsize 100 areaMin (  157.00,  -187.00) areaMax (  165.00,  -179.00) position (  157.00,  -187.00) radius 4
  structsize 100 areaMin (  419.00,   -92.00) areaMax (  427.00,   -84.00) position (  419.00,   -92.00) radius 4
  structsize 100 areaMin ( -896.00,  -872.00) areaMax ( -888.00,  -864.00) position ( -896.00,  -872.00) radius 4
  structsize 100 areaMin (-1171.00,  -563.00) areaMax (-1163.00,  -555.00) position (-1171.00,  -563.00) radius 4
  structsize 100 areaMin (-1066.00,  -165.00) areaMax (-1058.00,  -157.00) position (-1066.00,  -165.00) radius 4
  structsize 100 areaMin ( -530.00,   305.00) areaMax ( -522.00,   313.00) position ( -530.00,   305.00) radius 4
  structsize 100 areaMin ( -224.00,   300.00) areaMax ( -216.00,   308.00) position ( -224.00,   300.00) radius 4
  structsize 100 areaMin (  141.00,   391.00) areaMax (  149.00,   399.00) position (  141.00,   391.00) radius 4
  structsize 100 areaMin (  330.00,   481.00) areaMax (  338.00,   489.00) position (  330.00,   481.00) radius 4
  structsize 100 areaMin ( -229.00,    84.00) areaMax ( -221.00,    92.00) position ( -229.00,    84.00) radius 4
  structsize 100 areaMin ( -275.00,   104.00) areaMax ( -267.00,   112.00) position ( -275.00,   104.00) radius 4
  structsize 100 areaMin ( -365.00,    38.00) areaMax ( -357.00,    46.00) position ( -365.00,    38.00) radius 4
  structsize 100 areaMin ( -404.00,  -141.00) areaMax ( -396.00,  -133.00) position ( -404.00,  -141.00) radius 4
  structsize 100 areaMin ( -576.00,   493.00) areaMax ( -568.00,   501.00) position ( -576.00,   493.00) radius 4
  structsize 100 areaMin ( -669.00,   579.00) areaMax ( -661.00,   587.00) position ( -669.00,   579.00) radius 4
  structsize 100 areaMin (-1317.00,   205.00) areaMax (-1309.00,   213.00) position (-1317.00,   205.00) radius 4
  structsize 100 areaMin (-1300.00,   333.00) areaMax (-1292.00,   341.00) position (-1300.00,   333.00) radius 4
  structsize 100 areaMin ( -944.00,   852.00) areaMax ( -936.00,   860.00) position ( -944.00,   852.00) radius 4
  structsize 100 areaMin (-1017.00,   801.00) areaMax (-1009.00,   809.00) position (-1017.00,   801.00) radius 4
  structsize 100 areaMin (-1278.00,   773.00) areaMax (-1270.00,   781.00) position (-1278.00,   773.00) radius 4
  structsize 100 areaMin (-1431.00,   877.00) areaMax (-1423.00,   885.00) position (-1431.00,   877.00) radius 4
  structsize 100 areaMin (-1673.00,   508.00) areaMax (-1665.00,   516.00) position (-1673.00,   508.00) radius 4
  structsize 100 areaMin (-1583.00,   426.00) areaMax (-1575.00,   434.00) position (-1583.00,   426.00) radius 4
  structsize 100 areaMin (-2395.00,  2157.00) areaMax (-2387.00,  2165.00) position (-2395.00,  2157.00) radius 4
  structsize 100 areaMin (-2047.00,  2637.00) areaMax (-2039.00,  2645.00) position (-2047.00,  2637.00) radius 4
  structsize 100 areaMin (-1295.00,  1405.00) areaMax (-1287.00,  1413.00) position (-1295.00,  1405.00) radius 4
  structsize 100 areaMin (-1134.00, -1401.00) areaMax (-1126.00, -1393.00) position (-1134.00, -1401.00) radius 4
  structsize 100 areaMin (-1305.00, -1551.00) areaMax (-1297.00, -1543.00) position (-1305.00, -1551.00) radius 4
  structsize 100 areaMin (-1143.00, -1870.00) areaMax (-1135.00, -1862.00) position (-1143.00, -1870.00) radius 4
  structsize 100 areaMin ( -878.00, -1789.00) areaMax ( -870.00, -1781.00) position ( -878.00, -1789.00) radius 4
